date,return_xm,ma_gap,rsi_14,vol_ratio,phone_pos,phone_neg,car_pos,car_neg,iot_pos,iot_neg,return_hsi
2023-12-19,,0.0,,1.0,0,0,0,0,0,0,
2023-12-20,-0.005398110661268607,0.0,,0.0032590983161325366,0,0,0,0,0,0,0.007707164536006728
2023-12-21,-0.009497964721845387,0.0,,0.6837911511847348,0,0,0,0,0,0,0.00043808411214962817
2023-12-22,-0.020547945205479423,0.0,,0.7563339568100663,0,0,0,0,0,0,-0.016895343745438662
2023-12-27,0.04895104895104896,0.0,,0.7278802847595526,0,0,0,0,0,0,0.0174084109721242
2023-12-28,-0.010666666666666713,-0.0014043035107586825,,1.2677896184255757,0,0,0,0,0,0,0.025191535935789933
2023-12-29,-0.047169811320754707,-0.003982819211245637,,1.2789848286195917,0,0,0,0,0,0,0.00030248572089464076
2024-01-02,0.004243281471004057,-0.005761316872427958,,1.455604075691412,0,0,0,0,0,0,-0.01519086413604187
2024-01-03,-0.038028169014084456,-0.0075825019186493755,,1.759506933744222,0,0,0,0,0,0,-0.008471208727693136
2024-01-04,0.01024890190336758,-0.019569743233865372,,0.02520595106356818,0,0,0,0,0,0,-1.821659531830999e-05
2024-01-05,-0.008695652173913104,-0.031208011154772668,,0.09785522788203753,0,0,0,0,0,0,-0.0066491784165847445
2024-01-08,-0.042397660818713434,-0.03876404494382032,,1.0568428071345224,0,0,0,0,0,0,-0.018797337196721053
2024-01-09,0.003053435114503955,-0.047994783175741865,,0.652469917669411,0,0,0,0,0,0,-0.0021306818181817677
2024-01-10,-0.016742770167427756,-0.05254392200670256,24.86772486772486,0.9990198000392081,0,0,0,0,0,0,-0.005712680277205506
2024-01-11,0.02941176470588247,-0.05622146118721463,31.730769230769226,1.8020698576972833,0,0,0,0,0,0,0.012715456343599829
2024-01-12,-0.019548872180451204,-0.06126836259405234,30.414746543778804,0.9720534629404617,0,0,0,0,0,0,-0.003534226190476164
2024-01-15,0.0015337423312884457,-0.05828890581365838,31.75355450236968,0.04806138933764136,0,0,0,0,0,0,-0.0017360462945678057
2024-01-16,-0.030627871362940318,-0.06053012048192772,31.01851851851852,0.2917991099809282,0,0,0,0,0,0,-0.021598070198403096
2024-01-17,-0.04739336492890989,-0.06666666666666657,15.165876777251214,0.5526579739217653,0,0,0,0,0,0,-0.037135430602805664
2024-01-18,0.018242122719734466,-0.07660788761249705,20.093457943925245,0.38070009460737936,0,0,0,0,0,0,0.007522975843109236
2024-01-19,-0.006514657980456029,-0.08008274231678497,23.49726775956286,0.47463737018281693,0,0,0,0,0,0,-0.0053981638362425866
